"","Mitigation measure","region","reduction","total","1p5 emissions","Ref emissions","difference","share"
"40","1p5 emissions","India",52.0131913781546,-744.93418176319,52.0131913781546,1136.83391674388,-1084.82072536573,-0.0698225328512168
"41","Ref emissions","Japan",109.577568366711,-107.919665652607,4.76743722199565,109.577568366711,-104.810131144715,-1.01536237815488
"42","Energy efficiency","Japan",-12.4965838758558,-107.919665652607,4.76743722199565,109.577568366711,-104.810131144715,0.119230686378985
"43","Material efficiency","Japan",-15.1691866872911,-107.919665652607,4.76743722199565,109.577568366711,-104.810131144715,0.144730156537505
"44","Price-induced demand reduction","Japan",-9.25970451253542,-107.919665652607,4.76743722199565,109.577568366711,-104.810131144715,0.08834741843563
"45","High scrap use","Japan",-36.0068952561921,-107.919665652607,4.76743722199565,109.577568366711,-104.810131144715,0.343544033987287
"46","H2 contribution","Japan",-9.34267654688895,-107.919665652607,4.76743722199565,109.577568366711,-104.810131144715,0.0891390597917406
"47","CCUS","Japan",-22.535084265952,-107.919665652607,4.76743722199565,109.577568366711,-104.810131144715,0.215008644868853
"48","1p5 emissions","Japan",4.76743722199565,-107.919665652607,4.76743722199565,109.577568366711,-104.810131144715,-0.0441757968129925
"49","Ref emissions","South Korea",77.187797054148,-74.0625800930842,1.22095274727134,77.187797054148,-75.9668443068767,-1.0421969766262
"50","Energy efficiency","South Korea",-9.08414398929547,-74.0625800930842,1.22095274727134,77.187797054148,-75.9668443068767,0.119580378416129
"51","Material efficiency","South Korea",-22.2019846878341,-74.0625800930842,1.22095274727134,77.187797054148,-75.9668443068767,0.292258878072475
"52","Price-induced demand reduction","South Korea",-4.56301925500644,-74.0625800930842,1.22095274727134,77.187797054148,-75.9668443068767,0.0600659313499137
"53","High scrap use","South Korea",-28.9301570535217,-74.0625800930842,1.22095274727134,77.187797054148,-75.9668443068767,0.380826100089863
"54","H2 contribution","South Korea",-7.34018177440159,-74.0625800930842,1.22095274727134,77.187797054148,-75.9668443068767,0.0966234920164657
"55","CCUS","South Korea",-3.84735754681734,-74.0625800930842,1.22095274727134,77.187797054148,-75.9668443068767,0.0506452200551534
"56","1p5 emissions","South Korea",1.22095274727134,-74.0625800930842,1.22095274727134,77.187797054148,-75.9668443068767,-0.0164854201100854
"57","Ref emissions","Global",3669.26238260738,-3114.45343419946,123.54886645462,3669.26238260738,-3545.71351615276,-1.17814006859619
"58","Energy efficiency","Global",-409.54997351936,-3114.45343419946,123.54886645462,3669.26238260738,-3545.71351615276,0.115505658213396
"59","Material efficiency","Global",-735.775312326319,-3114.45343419946,123.54886645462,3669.26238260738,-3545.71351615276,0.207511212898177
"60","Price-induced demand reduction","Global",-264.24838120497,-3114.45343419946,123.54886645462,3669.26238260738,-3545.71351615276,0.074526151083884
"61","High scrap use","Global",-1055.75794055421,-3114.45343419946,123.54886645462,3669.26238260738,-3545.71351615276,0.297756131662817
"62","H2 contribution","Global",-578.113383368681,-3114.45343419946,123.54886645462,3669.26238260738,-3545.71351615276,0.163045711599384
"63","CCUS","Global",-502.26852517922,-3114.45343419946,123.54886645462,3669.26238260738,-3545.71351615276,0.141655134542342
"64","1p5 emissions","Global",123.54886645462,-3114.45343419946,123.54886645462,3669.26238260738,-3545.71351615276,-0.0396695179635515
